Education,Policy Type,Sales Channel,State,Vehicle Class,Response,EmploymentStatus,Marital Status,Coverage,Policy,Vehicle Size,Renew Offer Type,Location Code,Gender,Effective To Date,Expiry_date,Expiry_year,Expiry_month,Expiry_week_in_year,Expiry_day_of_week,Expiry_day_of_month
Bachelor,Corporate Auto,Agent,Washington,Two-Door Car,No,Employed,Married,Basic,Corporate L3,Medsize,Offer1,Suburban,F,2/24/11,2011-02-24,2011,2,8,3,24
Bachelor,Personal Auto,Agent,Arizona,Four-Door Car,No,Unemployed,Single,Extended,Personal L3,Medsize,Offer3,Suburban,F,1/31/11,2011-01-31,2011,1,5,0,31
Bachelor,Personal Auto,Agent,Nevada,Two-Door Car,No,Employed,Married,Premium,Personal L3,Medsize,Offer1,Suburban,F,2/19/11,2011-02-19,2011,2,7,5,19
Bachelor,Corporate Auto,Call Center,California,SUV,No,Unemployed,Married,Basic,Corporate L2,Medsize,Offer1,Suburban,M,1/20/11,2011-01-20,2011,1,3,3,20
Bachelor,Personal Auto,Agent,Washington,Four-Door Car,No,Employed,Single,Basic,Personal L1,Medsize,Offer1,Rural,M,2/3/11,2011-02-03,2011,2,5,3,3
Bachelor,Personal Auto,Web,Oregon,Two-Door Car,Yes,Employed,Married,Basic,Personal L3,Medsize,Offer2,Rural,F,1/25/11,2011-01-25,2011,1,4,1,25
College,Corporate Auto,Agent,Oregon,Four-Door Car,Yes,Employed,Married,Basic,Corporate L3,Medsize,Offer1,Suburban,F,2/24/11,2011-02-24,2011,2,8,3,24
Master,Corporate Auto,Agent,Arizona,Four-Door Car,No,Unemployed,Single,Premium,Corporate L3,Medsize,Offer1,Urban,M,1/18/11,2011-01-18,2011,1,3,1,18
Bachelor,Corporate Auto,Agent,Oregon,Four-Door Car,Yes,Medical Leave,Divorced,Basic,Corporate L3,Medsize,Offer1,Suburban,M,1/26/11,2011-01-26,2011,1,4,2,26
College,Special Auto,Branch,Oregon,Four-Door Car,No,Employed,Married,Extended,Special L2,Medsize,Offer2,Urban,F,2/17/11,2011-02-17,2011,2,7,3,17
College,Personal Auto,Agent,California,Four-Door Car,No,Unemployed,Single,Basic,Personal L3,Small,Offer1,Suburban,M,2/21/11,2011-02-21,2011,2,8,0,21
College,Personal Auto,Agent,California,SUV,No,Unemployed,Married,Basic,Personal L3,Medsize,Offer2,Suburban,F,1/6/11,2011-01-06,2011,1,1,3,6
Master,Corporate Auto,Agent,California,Four-Door Car,No,Employed,Married,Premium,Corporate L1,Medsize,Offer2,Urban,M,2/6/11,2011-02-06,2011,2,5,6,6
High School or Below,Corporate Auto,Branch,Arizona,SUV,Yes,Employed,Married,Basic,Corporate L3,Medsize,Offer2,Suburban,M,1/10/11,2011-01-10,2011,1,2,0,10
College,Corporate Auto,Call Center,California,Four-Door Car,No,Employed,Single,Basic,Corporate L3,Medsize,Offer4,Urban,M,1/18/11,2011-01-18,2011,1,3,1,18
Bachelor,Corporate Auto,Branch,Oregon,Four-Door Car,No,Employed,Married,Basic,Corporate L2,Medsize,Offer2,Rural,F,1/17/11,2011-01-17,2011,1,3,0,17
High School or Below,Personal Auto,Call Center,Nevada,Two-Door Car,No,Medical Leave,Married,Basic,Personal L3,Medsize,Offer2,Suburban,M,2/6/11,2011-02-06,2011,2,5,6,6
College,Personal Auto,Call Center,California,SUV,No,Medical Leave,Married,Basic,Personal L2,Medsize,Offer3,Suburban,M,1/5/11,2011-01-05,2011,1,1,2,5
College,Personal Auto,Branch,Oregon,Four-Door Car,No,Employed,Married,Basic,Personal L2,Medsize,Offer2,Urban,M,2/27/11,2011-02-27,2011,2,8,6,27
High School or Below,Corporate Auto,Call Center,California,Four-Door Car,No,Employed,Married,Premium,Corporate L2,Small,Offer1,Suburban,F,1/14/11,2011-01-14,2011,1,2,4,14
High School or Below,Personal Auto,Branch,Oregon,Two-Door Car,No,Employed,Single,Basic,Personal L2,Medsize,Offer1,Suburban,M,2/19/11,2011-02-19,2011,2,7,5,19
Bachelor,Personal Auto,Call Center,Washington,Four-Door Car,No,Disabled,Divorced,Extended,Personal L3,Medsize,Offer4,Suburban,F,1/21/11,2011-01-21,2011,1,3,4,21
Bachelor,Personal Auto,Agent,Arizona,Four-Door Car,Yes,Medical Leave,Divorced,Basic,Personal L3,Medsize,Offer1,Suburban,M,1/26/11,2011-01-26,2011,1,4,2,26
Bachelor,Corporate Auto,Branch,Nevada,Four-Door Car,No,Unemployed,Single,Basic,Corporate L3,Medsize,Offer1,Suburban,F,2/24/11,2011-02-24,2011,2,8,3,24
Bachelor,Corporate Auto,Branch,California,Four-Door Car,No,Disabled,Married,Basic,Corporate L2,Medsize,Offer2,Suburban,F,2/5/11,2011-02-05,2011,2,5,5,5
College,Personal Auto,Call Center,Oregon,Four-Door Car,No,Employed,Married,Basic,Personal L3,Large,Offer2,Suburban,M,1/29/11,2011-01-29,2011,1,4,5,29
Bachelor,Personal Auto,Agent,California,Four-Door Car,No,Unemployed,Single,Premium,Personal L3,Small,Offer1,Suburban,F,2/28/11,2011-02-28,2011,2,9,0,28
Master,Corporate Auto,Branch,Washington,SUV,No,Disabled,Married,Extended,Corporate L1,Medsize,Offer1,Urban,F,2/12/11,2011-02-12,2011,2,6,5,12
College,Personal Auto,Call Center,Arizona,Four-Door Car,No,Employed,Single,Premium,Personal L3,Large,Offer1,Suburban,F,2/2/11,2011-02-02,2011,2,5,2,2
Master,Personal Auto,Branch,Oregon,Four-Door Car,No,Employed,Married,Extended,Personal L3,Small,Offer2,Suburban,F,2/7/11,2011-02-07,2011,2,6,0,7
College,Personal Auto,Call Center,Arizona,Four-Door Car,No,Employed,Married,Basic,Personal L2,Small,Offer4,Suburban,M,2/28/11,2011-02-28,2011,2,9,0,28
High School or Below,Corporate Auto,Agent,Nevada,Luxury SUV,No,Employed,Married,Extended,Corporate L2,Medsize,Offer2,Urban,M,1/22/11,2011-01-22,2011,1,3,5,22
Bachelor,Personal Auto,Call Center,California,Four-Door Car,No,Unemployed,Married,Basic,Personal L3,Medsize,Offer1,Urban,M,1/25/11,2011-01-25,2011,1,4,1,25
Bachelor,Corporate Auto,Agent,Washington,Two-Door Car,No,Employed,Married,Basic,Corporate L2,Small,Offer1,Suburban,M,1/18/11,2011-01-18,2011,1,3,1,18
Bachelor,Corporate Auto,Web,Oregon,Four-Door Car,No,Employed,Married,Basic,Corporate L1,Medsize,Offer3,Rural,F,2/13/11,2011-02-13,2011,2,6,6,13
High School or Below,Personal Auto,Branch,Arizona,Four-Door Car,No,Employed,Married,Basic,Personal L1,Medsize,Offer1,Urban,F,1/15/11,2011-01-15,2011,1,2,5,15
Bachelor,Personal Auto,Agent,California,Four-Door Car,No,Employed,Married,Premium,Personal L3,Small,Offer1,Suburban,M,1/8/11,2011-01-08,2011,1,1,5,8
Master,Personal Auto,Web,Oregon,Four-Door Car,No,Employed,Married,Extended,Personal L3,Small,Offer2,Suburban,F,2/6/11,2011-02-06,2011,2,5,6,6
Bachelor,Personal Auto,Agent,Oregon,Two-Door Car,No,Unemployed,Single,Extended,Personal L2,Small,Offer3,Suburban,M,1/25/11,2011-01-25,2011,1,4,1,25
High School or Below,Personal Auto,Call Center,Arizona,Four-Door Car,No,Employed,Divorced,Basic,Personal L3,Medsize,Offer1,Rural,M,2/7/11,2011-02-07,2011,2,6,0,7
