Income,Total Claim Amount,Customer Lifetime Value
56274,384.811147,2763.519279
0,1131.464935,6979.535903
48767,566.472247,12887.43165
0,529.881344,7645.861827
43836,138.130879,2813.692575
62902,159.383042,8256.2978
55350,321.6,5380.898636
0,363.02968,7216.100311
14072,511.2,24127.50402
28812,425.527834,7388.178085
0,482.4,4738.992022
0,528.0,8197.197078
77026,472.029737,8798.797003
99845,528.0,8819.018934
83689,307.139132,5384.431665
24599,42.920271,7463.139377
25049,454.245098,2566.867823
28855,647.442031,3945.241604
51148,308.981664,5710.333115
66140,484.8,8162.617053
57749,355.2,2872.051273
13789,379.2,3041.791561
14072,511.2,24127.50402
0,554.376763,2450.190996
17870,439.2,2392.10789
97541,389.185006,5802.065978
0,799.2,3946.372085
10511,516.237951,5346.916576
86584,532.8,12902.56014
75690,384.0,3235.360468
23158,322.294043,2454.58354
65999,615.927769,18975.45611
0,308.15089,4715.321344
54500,302.4,5018.885233
37260,15.437681,4932.916345
68987,204.475147,5744.229745
42305,561.6,13891.73567
65706,436.8,7380.976717
0,648.0,3090.034104
53243,157.397849,2521.633095
0,484.318536,2652.061785
50071,18.918935,2771.045031
60021,882.871945,3939.00637
43244,494.4,12231.87968
92834,292.8,2443.665166
10105,0.517753,12819.10289
0,579.165954,4468.510542
23218,447.79344,5514.344018
0,529.624084,3343.875326
0,313.023175,2294.478927
24804,593.830288,36707.42639
33190,508.8,33473.34946
36014,173.956072,7983.431709
29834,307.2,4854.745666
16701,831.625979,4293.997319
46623,436.8,7164.395543
64749,302.56519,7619.5158
0,484.8,3958.002823
16969,704.768111,4499.493252
11621,518.4,4059.567414
17622,312.0,4458.113369
11489,504.0,8110.333139
0,863.327324,3339.764873
66525,104.331355,24261.01777
0,676.391482,6613.973653
33663,350.4,2930.693543
22547,537.6,8672.194272
61486,465.258644,11638.66926
0,456.0,6846.150323
29879,500.254235,11727.77648
93011,281.451042,22643.83478
65186,5.434505,2614.474305
26840,307.2,2451.752695
0,982.399613,6781.270203
75644,467.803638,4974.801539
38984,350.4,8591.604933
71811,29.03416,5592.161392
20961,321.6,8009.472833
38923,115.728852,11318.08982
61321,427.63121,58166.55351
0,25.807685,8025.229358
51066,787.993313,5780.182197
34378,489.6,4118.539113
43072,302.4,2523.07015
25222,475.623251,6554.216396
36765,320.849072,7703.397294
23091,460.8,5926.729379
48269,282.151207,2683.470677
32720,321.6,2695.182419
20396,364.8,6047.02516
21513,679.827592,13171.01282
72540,631.743039,10656.88195
80744,11.879037,2527.653796
52822,350.529033,2672.095756
0,863.3947,5313.294035
69738,492.127532,20946.19251
17780,132.588288,8375.353929
18107,297.6,4801.661503
57740,269.905129,5745.94334
32627,380.036697,6066.115969
0,513.6,8002.308333
0,425.266308,2393.915369
65795,49.011099,4762.8179
60475,513.6,4330.38602
0,936.0,9402.729769
41837,142.062768,6966.694527
32303,45.152521,7694.064293
0,561.6,8717.561149
40531,30.567357,5928.748528
79898,271.606799,2452.977288
56398,408.0,6701.571657
35257,470.4,7556.24034
27804,784.8,8492.6988
45506,316.8,7713.494046
65196,396.082036,24084.5352
0,489.6,7290.069769
20993,638.4,4772.943848
37839,465.633954,6806.491395
92711,368.400146,2469.781334
74665,236.902001,3103.923041
0,582.679087,2981.875575
46833,64.109663,8902.737595
88768,326.4,5499.447223
28262,921.6,15023.59858
33555,101.89645,2509.107875
42780,542.4,31221.7481
58850,143.747794,3133.503432
21880,424.077159,3837.451863
25251,316.8,11790.49617
0,2.704934,7838.068321
24188,523.2,4305.808345
41611,113.801497,5973.976904
28406,192.87572,5670.442396
69833,828.662719,4731.749346
0,532.8,8026.379641
0,975.107098,4022.963529
80536,53.798708,9618.310865
0,606.642452,2274.775451
97732,289.9122,9552.926922
61222,392.604371,10388.55323
0,721.242206,2470.121222
50335,456.52385,5619.068508
0,1087.995426,9047.119209
63221,806.4,6692.143668
0,460.8,3731.504584
64495,251.992083,3660.770258
0,345.6,7928.829252
28859,321.6,5011.751577
77330,99.257608,7988.258292
0,504.0,3885.456401
24495,336.0,2659.337982
95697,178.006524,8564.768226
26372,604.8,4885.162511
17514,8.312729,9753.307106
89270,316.599228,2946.153697
29757,312.0,2581.110945
51814,56.300724,3517.385764
24028,393.6,9743.350113
28142,701.708239,3873.647046
52705,128.705563,7649.28199
0,679.368378,2287.59692
84903,497.126827,4475.424592
0,566.4,8714.922135
24910,347.857619,2248.449633
0,554.4,7416.197322
21876,465.41477,7771.158973
0,496.8,6968.3419
0,292.8,4250.282624
70699,256.813837,19776.56654
0,355.2,21343.46599
27501,542.319401,2413.139714
15897,303.148399,15363.84716
25141,25.438063,8456.961887
0,292.8,2189.642522
51066,787.993313,5780.182197
28358,84.024413,4639.981638
61846,215.8182,4465.335703
90972,232.926145,5968.118877
0,532.8,5097.763337
29549,710.433775,4076.634665
0,552.0,12252.60179
39411,1122.658899,16936.27147
21709,408.374746,4892.435461
67890,408.0,9942.304791
0,792.0,3735.838129
84311,532.8,13117.52215
99316,754.358929,4574.524094
54507,702.990032,5470.060561
64586,206.837111,2978.84601
61709,275.395894,6410.967544
94656,459.738128,4479.023088
0,496.8,2383.731879
61085,336.0,2764.493659
89284,321.6,7920.105377
0,302.4,6889.097981
31686,430.994107,3274.194616
56855,1836.0,9951.707743
53703,67.632476,2521.555686
0,844.481918,23706.11337
20396,364.8,6047.02516
27679,722.486994,11140.30248
23904,590.4,4334.064096
65351,481.027516,2799.74791
0,1124.427734,7923.136624
0,669.682001,3688.110888
0,1284.093173,12067.45599
64459,240.259479,2924.976721
32961,912.0,15014.0927
71416,556.8,9277.233839
68964,115.086827,6274.123875
78108,470.4,3886.647414
10621,321.6,4386.277558
84910,383.167471,11365.26766
77493,307.963291,5610.96434
81097,355.2,2912.892035
96610,520.364752,6915.729915
30110,466.436375,6262.663307
22081,451.670309,6503.397049
0,537.6,8007.399376
98473,345.6,2929.916512
97431,355.2,5969.55297
93870,331.2,5473.15987
50366,428.734656,5645.396665
34498,398.4,6369.262355
16552,494.4,11833.76732
26787,369.6,6121.107929
0,831.752839,5159.369746
43860,156.124914,2514.59196
21474,373.428187,8668.611261
18174,395.934815,4960.965384
0,350.4,5504.139033
60920,231.201886,7507.455372
41520,289.904105,32269.85139
0,729.6,5657.031588
0,326.4,5061.757902
72208,350.4,5912.783829
53863,105.765111,15182.27975
66446,639.464548,10747.03094
0,292.8,2050.623512
64997,383.442328,2465.444865
64460,316.8,5343.121327
46618,99.085943,8119.829071
0,307.2,4605.265164
49988,566.935022,6408.785577
0,436.8,2376.533508
16269,412.8,3211.070017
72006,307.2,5094.522262
0,388.8,25755.27817
0,2345.413441,8672.229719
44320,321.6,8044.73072
19782,773.470977,4001.519098
63933,424.883448,16706.11699
28224,523.2,8544.411077
21073,508.8,7805.31287
63243,364.240307,6112.756868
20993,638.4,4772.943848
94827,354.729129,10979.09559
39161,283.995953,5004.263818
37534,403.2,13223.04379
80210,20.543176,2623.31543
0,385.115437,17840.19555
30110,140.165035,5106.111827
21708,326.4,17930.60451
94731,321.6,5457.342569
32375,398.4,6563.644143
16531,102.879769,4812.525221
32006,56.868289,29328.04185
81676,463.158502,5773.520711
71038,205.444066,6847.1189
