Months Since Policy Inception,Months Since Last Claim,Number of Policies,Monthly Premium Auto,Number of Open Complaints
5,32,1,69,0
42,13,8,94,0
38,18,2,108,0
65,18,7,106,0
44,12,1,73,0
94,14,2,69,0
13,0,9,67,0
68,0,4,101,0
3,13,2,71,0
7,17,8,93,0
5,23,3,67,0
87,27,3,110,0
82,9,3,110,2
25,23,8,110,1
10,21,8,70,2
50,12,2,64,1
7,14,1,67,0
59,12,1,101,0
1,9,7,72,0
21,11,3,101,0
21,31,1,74,0
49,8,1,79,0
3,13,2,71,0
44,4,1,73,3
91,30,1,61,0
1,22,3,72,0
47,15,1,111,0
64,33,1,139,0
54,33,2,111,2
44,17,1,80,1
6,4,1,63,1
14,1,6,237,0
56,19,3,65,0
17,28,6,63,0
42,19,8,62,0
40,11,6,71,0
62,10,2,117,0
86,19,8,91,0
79,7,1,90,0
15,4,1,66,2
1,7,1,70,1
32,3,1,71,0
28,12,1,99,0
16,15,2,103,0
56,15,1,61,0
4,5,3,172,3
57,7,5,73,3
10,7,4,71,0
77,11,1,92,0
56,11,1,62,0
28,1,2,104,0
95,18,2,106,0
40,4,2,69,3
44,19,3,64,0
26,20,1,113,0
53,1,3,91,0
59,24,2,64,0
12,29,1,101,0
47,34,1,124,2
98,4,1,108,0
36,1,3,65,1
50,4,6,105,0
53,20,1,94,0
86,0,2,100,0
28,21,2,63,0
71,29,1,73,0
60,7,3,112,0
65,5,2,97,0
20,13,5,95,0
0,17,2,102,0
12,17,2,113,0
27,29,1,65,0
47,1,1,64,2
3,30,5,104,1
68,5,9,65,3
38,27,2,73,0
48,17,6,71,0
33,20,2,67,0
83,6,2,99,2
30,0,2,186,1
26,20,2,77,0
0,23,8,74,0
54,12,1,102,0
15,35,1,63,0
69,28,3,90,0
32,15,2,66,1
90,28,5,96,5
79,3,1,69,3
12,13,1,67,0
60,15,4,76,1
81,21,2,119,1
3,7,2,88,0
84,24,1,63,0
88,23,1,67,0
10,8,9,77,1
26,2,2,74,1
18,12,9,109,0
11,29,8,62,0
87,30,9,74,3
60,11,7,76,0
65,3,3,107,0
10,24,1,70,0
85,2,3,62,1
18,9,1,107,0
88,28,4,130,0
93,29,9,88,0
34,13,2,65,0
89,5,3,117,1
32,17,9,74,0
86,5,1,62,1
18,4,7,85,0
2,16,8,98,1
54,19,7,109,0
32,16,2,66,2
54,0,2,67,0
70,11,3,102,1
90,35,1,133,0
77,35,9,86,0
10,24,1,62,0
90,10,1,78,2
89,26,1,83,0
3,6,9,112,0
77,17,7,68,0
77,9,3,192,0
11,17,1,63,0
27,10,2,113,1
26,20,1,78,0
37,29,1,97,0
43,13,2,66,0
12,9,2,69,0
82,14,1,109,0
8,14,8,74,0
35,16,4,72,1
99,32,1,118,0
91,15,2,74,0
1,6,1,117,0
83,5,3,119,0
5,2,1,63,0
70,0,2,79,0
55,20,2,89,0
20,7,1,74,0
54,9,1,140,0
11,30,6,127,0
49,28,1,168,0
34,31,1,96,0
30,34,1,92,0
75,7,2,72,0
51,24,4,67,3
21,0,3,99,0
92,3,1,105,0
65,29,1,70,0
29,29,9,107,0
7,11,1,126,0
5,2,3,127,0
90,17,1,74,0
55,13,1,65,0
89,28,1,92,0
27,14,2,82,0
50,18,1,105,0
8,14,2,64,1
5,1,1,63,0
63,7,1,111,0
64,14,4,118,0
63,7,1,63,1
12,15,2,77,2
28,12,2,68,0
61,33,2,69,1
1,17,7,61,1
57,1,2,82,0
85,11,2,74,1
0,20,1,63,0
99,30,2,101,0
4,12,2,73,1
46,5,1,61,3
0,23,8,74,0
37,24,1,117,0
48,1,1,112,0
47,3,8,74,0
95,3,7,74,0
51,17,1,104,0
17,12,2,115,1
29,4,4,217,2
17,28,3,62,0
57,23,2,85,0
16,3,1,110,0
98,11,2,111,4
53,26,1,114,0
11,20,1,138,0
17,3,1,76,0
41,5,7,82,2
79,12,1,111,1
40,5,1,69,0
34,27,1,70,1
31,7,2,67,3
12,6,2,63,0
33,11,1,81,0
1,12,1,255,0
45,3,1,67,2
35,12,2,96,1
60,15,4,76,1
28,30,3,150,0
67,1,1,123,3
54,4,1,69,0
1,20,7,113,0
54,0,7,63,3
35,14,2,116,0
64,16,1,72,0
53,13,3,190,0
0,10,3,116,0
6,15,3,78,0
34,12,1,98,0
22,28,5,67,0
69,4,2,95,0
35,2,3,70,0
67,7,1,74,0
23,6,3,85,0
71,20,1,159,0
9,1,6,84,0
93,12,3,112,0
69,19,1,72,0
72,1,3,74,0
96,1,8,69,0
5,9,9,72,0
72,30,7,83,0
53,23,2,103,0
50,7,5,77,0
42,2,9,74,0
58,15,1,65,0
72,13,9,114,2
16,8,9,66,0
45,18,5,73,0
61,10,2,64,0
70,18,2,90,0
89,12,1,152,0
16,19,8,68,0
84,3,8,73,0
30,12,2,63,0
77,8,3,136,0
26,18,1,61,0
99,7,1,63,1
42,18,3,66,0
77,22,2,67,0
64,13,4,64,0
37,6,5,84,5
8,2,1,91,5
84,6,1,86,0
38,4,3,64,0
60,3,2,81,2
83,34,1,245,0
79,13,2,67,0
66,13,1,108,0
98,35,2,70,0
13,13,8,109,0
54,25,3,106,1
73,21,3,77,0
90,35,1,133,0
64,5,4,135,0
83,18,4,63,1
0,2,2,84,2
28,30,1,65,0
59,32,2,62,0
4,2,5,64,0
77,28,2,68,0
65,23,4,67,0
83,17,6,83,0
40,0,4,63,0
7,28,2,94,0
86,21,8,72,0
