EmploymentStatus_3,Boxcox_Number of Open Complaints,Sqrt_Total Claim Amount,Renew Offer Type_1,Gender_1,Marital Status_1,Education_1,Coverage_1,Sales Channel_1,Vehicle Size_1,Education_3,Response
0,0.6917187303665133,-0.0047557718276207,0,0,1,0,0,0,1,0,0
0,-1.641026025395326,2.019286542605683,0,0,0,0,1,0,1,0,0
0,0.59680519352788,0.5992633857424275,0,0,1,0,0,0,1,0,0
0,-1.641026025395326,0.4864411499182565,0,1,1,0,0,0,1,0,0
0,0.5285337656851685,-1.1399705361458068,0,1,0,0,0,0,1,0,0
0,0.7681627305991854,-1.0141175776568772,1,0,1,0,0,0,1,0,1
0,0.6805512735997294,-0.2477731260269128,0,0,1,1,0,0,1,0,1
0,-1.641026025395326,-0.0860697126080735,0,1,0,0,0,0,1,0,0
0,-0.0871247760921986,0.4273367695079546,0,1,0,0,0,0,1,0,1
0,0.2784307380171219,0.1412979598301986,1,0,1,1,1,1,1,0,0
0,-1.641026025395326,0.3340610255584941,0,1,0,1,0,0,0,0,0
0,-1.641026025395326,0.4805366066899826,1,0,1,1,0,0,1,0,0
0,0.913394710660885,0.2997952473035272,1,1,1,0,0,0,1,0,0
0,1.111676639634776,0.4805366066899826,1,1,1,0,0,1,1,1,1
0,0.9752577907884769,-0.3066472205021786,0,1,0,1,0,0,1,0,0
0,0.1914696095766683,-1.8908745464715315,1,0,1,0,0,1,1,0,0
0,0.201250384413512,0.2401423505180273,1,1,1,0,0,0,1,1,0
0,0.2792692689036949,0.8366232595182312,0,1,1,1,0,0,1,0,0
0,0.6279904489844642,-0.2990698418163169,1,1,1,1,0,1,1,0,0
0,0.8033992233995404,0.3419385513420365,0,0,1,0,0,0,0,1,0
0,0.7092734394732388,-0.1158929779007386,0,1,0,0,0,1,1,1,0
0,-0.0964722597616955,-0.0254782231641813,0,0,0,0,1,0,1,0,0
0,-0.0871247760921986,0.4273367695079546,0,1,0,0,0,0,1,0,1
0,-1.641026025395326,0.562383257846768,0,0,0,0,0,1,1,0,0
0,0.0268314373695785,0.1887601283525637,1,0,1,0,0,1,1,0,0
